ID,Codice,Titolo,Categoria,Sottocategoria,Sottocategoria (ID),Tipologia,Prezzo,Qtà scatola,Qtà disponibile,ML,Capacità,Capacità (ID),Colore,Color,Finitura,Materiale,Materiale (ID),Imboccatura,Materiale *,Immagine,Abstract (it),Abstract (en),Nota fitting (it),Nota fitting en)
264,AC003.0002,Ambra,Vasi vetro,Ambra,11,Vaso,"0,55",140,8380,5,5,1,Trasparente,Transparent,Nessuna finitura,Vetro,21,GCMI 33/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/MOQ_ambra 5 v v_def.jpg,<p>Il vaso&nbsp;in vetro Ambra 5&nbsp;ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,<p>Ambra 5&nbsp;ml glass jar&nbsp;has&nbsp;a timeless charme: its harmonious and well-balanced design makes it ideal for a wide variety of skincare products.</p>,,
263,AC003.0008,Ambra,Vasi vetro,Ambra,11,Vaso,"0,88",140,3677,5,5,1,Satinato,Frosted,Nessuna finitura,Vetro,21,GCMI 33/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC003.0008.jpg,<p>Il vaso&nbsp;in vetro Ambra 5&nbsp;ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,<p>Ambra 5&nbsp;ml glass jar&nbsp;has&nbsp;a timeless charme: its harmonious and well-balanced design makes it ideal for a wide variety of skincare products.</p>,,
730,AC015.0165,Ambra,Vasi vetro,Ambra,11,Vaso,"0,52",200,718,15,15,4,Trasparente,Transparent,Nessuna finitura,Vetro,21,GCMI 40/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC015.0205.jpg,<p>Il vaso&nbsp;in vetro Ambra 15&nbsp;ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,<p>Ambra 15 ml glass jar has a romantic and feminine design: this makes it perfect for a wide variety of refined skincare products.</p>,,
1360,AC015.0225,Ambra,Vasi colorati,Ambra,196,Vaso,"0,48",96,0,15,15,4,Bianco opaco,Matt black,Nessuna finitura,Vetro,21,GCMI 40/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC015.0225(1).jpg,,,,
1361,AC015.0232,Ambra,Vasi colorati,Ambra,196,Vaso,"0,48",96,2305,15,15,4,Nero opaco,Matt Black,Opaco,Vetro,21,GCMI 40/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC015.0232(1)(1).jpg,,,,
151,AC030.0082,Ambra,Vasi vetro,Ambra,11,Vaso,"0,53",24,1287,30,30,7,Trasparente,Transparent,Nessuna finitura,Vetro,21,GCMI 48/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/Ambra 30 ml trasp.jpg,<p>Il vaso&nbsp;in vetro Ambra 30 ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,<p>Ambra 30 ml glass jar&nbsp;has&nbsp;a timeless charme: its harmonious and well-balanced design makes it ideal for a wide variety of skincare products.</p>,,
731,AC030.0114,Ambra,Vasi vetro,Ambra,11,Vaso,"0,96",35,118,30,30,7,Satinato,Frosted,Nessuna finitura,Vetro,21,GCMI 48/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/Ambra 30 ml sat93.jpg,<p>Il vaso&nbsp;in vetro Ambra 30 ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,<p>Ambra 30 ml glass jar has a romantic and feminine design: this makes it perfect for a wide variety of refined skincare products.</p>,,
1362,AC030.0130,Ambra,Vasi colorati,Ambra,196,Vaso,"0,53",35,570,30,30,7,bianco opaco,matt white,Opaco,Vetro,21,GCMI 48/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC030.0130(1).jpg,,,,
348,AC050.0315,Ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,2955,50,50,8,Viola satinato,Frosted Purple,Semitrasparente,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.0315.jpg,<p>Il vaso&nbsp;in vetro Ambra 50 ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,<p>Ambra 50 ml glass jar&nbsp;has&nbsp;a timeless charme: its harmonious and well-balanced design makes it ideal for a wide variety of skincare products.</p>,,
349,AC050.0318,Ambra,Vasi colorati,Ambra,196,Vaso,"0,59",24,5566,50,50,8,Verde satinato,Frosted Green,Semitrasparente,Vetro,21,GCMI 58/400,Vetro,https://vetronaviglio.euupload/file/lowmoqproducts/products/files/AC050.0318.jpg,<p>Il vaso&nbsp;in vetro Ambra 50 ml possiede&nbsp;un fascino senza tempo. Il design armonioso ed equilibrato lo&nbsp;rende ideale&nbsp;per qualsiasi tipologia di prodotti skincare.</p>,<p>Ambra 50 ml glass jar&nbsp;has&nbsp;a timeless charme: its harmonious and well-balanced design makes it ideal for a wide variety of skincare products.</p>,,
